date,REAINTRATREARAT1YE,CPIAUCSL_PC1,SPASTT01USM661N,FEDFUNDS,OT
2000-01-01,2.65349890,2.79296,62.8660199999999918,5.45,284.590
2000-02-01,2.63962140,3.21797,59.9238699999999938,5.73,300.855
2000-03-01,2.65931000,3.76214,61.6246800000000050,5.85,286.704
2000-04-01,2.89569900,3.01386,64.0181900000000041,6.02,279.961
2000-05-01,2.78899800,3.13253,63.3383300000000062,6.27,275.293
2000-06-01,1.97824960,3.73494,64.3315699999999993,6.53,285.368
2000-07-01,3.35333640,3.59928,64.6789500000000004,6.54,282.152
2000-08-01,3.23888420,3.35129,65.9681400000000053,6.50,274.523
2000-09-01,3.00375470,3.45650,66.1083500000000015,6.52,273.676
2000-10-01,3.04657280,3.45033,64.0261500000000012,6.51,270.405
2000-11-01,2.75627540,3.44418,63.9463599999999985,6.51,265.989
2000-12-01,2.31883880,3.43602,63.8902500000000018,6.40,271.892
2001-01-01,3.12556130,3.72120,64.4254199999999884,5.98,265.934
2001-02-01,2.83425220,3.52941,64.1760000000000019,5.49,262.018
2001-03-01,3.61730110,2.98246,59.7593999999999994,5.31,263.273
2001-04-01,2.39777640,3.21826,60.0929199999999923,4.80,260.750
2001-05-01,1.86322210,3.56308,63.8312499999999972,4.21,272.057
2001-06-01,1.44539710,3.19396,62.4747199999999978,3.97,270.738
2001-07-01,1.69281700,2.72148,60.7987200000000030,3.77,267.707
2001-08-01,1.59373150,2.72148,59.8656999999999968,3.65,272.657
2001-09-01,0.25169635,2.59217,54.5954199999999972,3.07,282.478
2001-10-01,1.02547360,2.12766,55.0646399999999971,2.49,283.322
2001-11-01,1.05574580,1.89437,56.9918300000000073,2.09,276.248
2001-12-01,-0.19812037,1.60367,57.7323800000000062,1.82,275.992
2002-01-01,0.78737590,1.19590,57.6208300000000051,1.73,281.764
2002-02-01,0.85551172,1.13636,56.4110599999999991,1.74,295.683
2002-03-01,1.08039570,1.36286,59.4904199999999932,1.73,294.353
2002-04-01,0.53216094,1.64399,58.1882099999999980,1.75,302.862
2002-05-01,0.10822150,1.24083,57.0232000000000028,1.75,314.480
